,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
2177,Full House,1987,all,71,0,1,0,0
2178,Mom,2013,16+,71,1,1,0,0
2179,Will & Grace,1998,16+,71,0,1,0,0
2180,King of the Hill,1997,7+,71,0,1,0,0
2181,Doc Martin,2004,7+,71,0,1,0,0
2182,Impractical Jokers,2011,16+,71,0,1,0,0
2183,Debris,2021,16+,71,0,1,0,0
2184,Solar Opposites,2020,18+,70,0,1,0,0
2185,Trust,2018,18+,70,0,1,0,0
2186,SIX,2017,18+,70,0,1,0,0
2187,Last Man Standing,2011,7+,70,0,1,0,0
2188,Body of Proof,2011,16+,70,0,1,0,0
2189,The Hitchhiker's Guide to the Galaxy,1981,7+,70,0,1,1,0
2190,Afro Samurai,2007,18+,70,0,1,0,0
2191,S.W.A.T.,2017,16+,70,0,1,0,0
2192,A Million Little Things,2018,16+,70,0,1,0,0
2193,For Life,2020,16+,70,0,1,0,0
2194,Battlestar Galactica,1978,7+,70,0,1,0,0
2195,Alfred Hitchcock Presents,1955,16+,70,0,1,0,0
2196,Flashpoint,2008,16+,70,0,1,1,0
2197,The Detour,2016,18+,70,0,1,0,0
2198,Greek,2007,16+,70,0,1,0,0
2199,Casual,2015,18+,70,0,1,0,0
2200,Mary Kills People,2017,18+,70,0,1,0,0
2201,Mushi-Shi,2005,16+,70,0,1,1,0
2202,Baskets,2016,18+,70,0,1,0,0
2203,Touch,2012,16+,70,0,1,1,0
2204,Rurouni Kenshin,1996,16+,70,0,1,1,0
2205,Big Sky,2020,16+,70,0,1,1,0
2206,The Wrong Mans,2013,18+,70,0,1,0,0
2207,Chance,2016,18+,69,0,1,0,0
2208,The Split,2018,18+,69,0,1,0,0
2209,Make It or Break It,2009,16+,69,0,1,0,0
2210,Das Boot,2018,18+,69,0,1,0,0
2211,Legit,2013,18+,69,0,1,0,0
2212,Breeders,2020,18+,69,0,1,0,0
2213,Queen Sugar,2016,16+,69,0,1,0,0
2214,Drake & Josh,2004,all,69,0,1,0,0
2215,MasterChef,2010,16+,69,0,1,0,0
2216,Young Rock,2021,16+,69,0,1,0,0
2217,The Eric Andre Show,2012,18+,69,0,1,0,0
2218,Animaniacs,1993,all,69,0,1,0,0
2219,Man Seeking Woman,2015,18+,69,0,1,0,0
2220,Pretty Little Liars: The Perfectionists,2019,16+,69,0,1,0,0
2221,Yu Yu Hakusho,1992,16+,69,0,1,0,0
2222,Brassic,2019,,69,0,1,0,0
2223,Lodge 49,2018,16+,69,0,1,0,0
2224,I Am the Night,2019,18+,69,0,1,0,0
2225,Hey Arnold!,1996,all,69,0,1,0,0
2226,NOS4A2,2019,16+,69,0,1,0,0
2227,The Glades,2010,16+,69,0,1,0,0
2228,The Bridge,2013,18+,69,1,1,0,0
2229,Underground,2016,18+,69,0,1,1,0
2230,A Teacher,2020,18+,69,0,1,0,0
2231,Danny Phantom,2004,7+,69,0,1,0,0
2232,Sliders,1995,7+,69,0,1,0,0
2233,30 for 30,2009,7+,69,0,1,0,0
2234,Life in Pieces,2015,16+,69,0,1,1,0
2235,The Amazing Race,2001,7+,68,0,1,1,0
2236,Pitch,2016,16+,68,0,1,0,0
2237,Numb3rs,2005,7+,68,0,1,0,0
2238,Roswell,1999,16+,68,0,1,0,0
2239,Tyrant,2014,18+,68,0,1,0,0
2240,Legends,2014,16+,68,0,1,0,0
2241,Angie Tribeca,2016,16+,68,0,1,0,0
2242,FLCL,2000,18+,68,0,1,0,0
2243,Rugrats,1991,all,68,0,1,0,0
2244,Fosse/Verdon,2019,18+,68,0,1,0,0
2245,Assassination Classroom,2015,16+,68,0,1,0,0
2246,Top Chef,2006,16+,68,0,1,0,0
2247,Ghost Whisperer,2005,7+,68,0,1,1,0
2248,Darker than Black,2007,16+,68,0,1,1,0
2249,Kaguya-sama: Love is War,2019,16+,68,0,1,0,0
2250,Ally McBeal,1997,16+,68,0,1,0,0
2251,Everything's Gonna Be Okay,2020,16+,68,0,1,0,0
2252,Psycho-Pass,2012,18+,68,0,1,1,0
2253,The Powerpuff Girls,1998,7+,68,0,1,0,0
2254,"Beverly Hills, 90210",1990,16+,68,0,1,0,0
2255,"McCartney 3,2,1",2021,,68,0,1,0,0
2256,Friday Night Dinner,2011,18+,68,0,1,0,0
2257,Wu-Tang: An American Saga,2019,18+,68,0,1,0,0
2258,Hellsing Ultimate,2006,18+,68,0,1,0,0
2259,Claws,2017,18+,68,0,1,0,0
2260,Marvel's M.O.D.O.K.,2021,18+,68,0,1,0,0
2261,Shark Tank,2009,7+,68,0,1,0,0
2262,Ghost Adventures,2008,13+,67,0,1,0,0
2263,Miranda,2009,7+,67,0,1,0,0
2264,Making It,2018,7+,67,0,1,0,0
2265,The Son,2017,16+,67,1,1,0,0
2266,10 Things I Hate About You,2009,16+,67,0,1,0,1
2267,Good Trouble,2019,16+,67,0,1,0,0
2268,Ben 10,2005,7+,67,0,1,0,0
2269,The Mick,2017,16+,67,0,1,0,0
2270,WWE Raw,1993,7+,67,0,1,0,0
2271,Party of Five,1994,7+,67,0,1,0,0
2272,Overlord,2015,18+,67,0,1,0,0
2273,The Path,2016,18+,67,0,1,0,0
2274,Descendants of the Sun,2016,16+,67,0,1,1,0
2275,Single Parents,2018,7+,67,0,1,0,0
2276,Deadliest Catch,2005,16+,67,0,1,0,0
2277,Gangland Undercover,2015,16+,67,0,1,0,0
2278,ThunderCats,1985,7+,67,0,1,0,0
2279,Shiki,2010,18+,67,0,1,0,0
2280,Rascal Does Not Dream of Bunny Girl Senpai,2018,16+,67,0,1,0,0
2281,Jane Eyre,2006,7+,67,0,1,1,0
2282,Kitchen Nightmares,2007,16+,67,0,1,0,0
2283,Devious Maids,2013,7+,67,0,1,0,0
2284,My Wife and Kids,2001,7+,67,0,1,0,0
2285,Star vs. the Forces of Evil,2015,7+,67,0,1,0,1
2286,Dark Side of the Ring,2019,16+,67,0,1,0,0
2287,High School DxD,2012,18+,67,0,1,0,0
2288,Transplant,2020,16+,67,0,1,0,0
2289,Apple Tree Yard,2017,16+,67,0,1,0,0
2290,9-1-1: Lone Star,2020,16+,67,0,1,0,0
2291,Fruits Basket,2019,7+,66,0,1,0,0
2292,Siren,2018,7+,66,0,1,0,0
2293,Holey Moley,2019,7+,66,0,1,0,0
2294,Diabolik Lovers,2013,16+,66,0,1,0,0
2295,Dates,2013,,66,0,1,0,0
2296,Baby Daddy,2012,16+,66,0,1,0,0
2297,Digimon Adventure,1999,7+,66,0,1,0,0
2298,The Long Road Home,2017,18+,66,0,1,0,0
2299,Black Lagoon,2006,18+,66,0,1,0,0
2300,Taken,2017,18+,66,0,1,0,0
2301,Harrow,2018,,66,0,1,0,0
2302,Walker,2021,16+,66,0,1,0,0
2303,Catfish: The TV Show,2012,16+,66,0,1,0,0
2304,Treadstone,2019,18+,66,0,1,0,0
2305,The Incredible Hulk,1977,7+,66,0,1,0,1
2306,"Sabrina, the Teenage Witch",1996,all,66,0,1,0,0
2307,X-Men: Evolution,2000,7+,66,0,1,0,1
2308,Death Parade,2015,18+,66,0,1,0,0
2309,NEXT,2020,16+,66,0,1,1,0
2310,The Pink Panther,1964,all,66,0,1,1,0
2311,Golden Time,2013,16+,66,0,1,0,0
2312,Dollface,2019,18+,66,0,1,0,0
2313,Taxi,1978,7+,66,0,1,0,0
2314,Being Mary Jane,2014,16+,66,0,1,0,0
2315,Drunk History,2013,16+,65,0,1,0,0
2316,Twisted,2013,16+,65,0,1,0,0
2317,Brothers and Sisters,2006,16+,65,0,1,0,0
2318,Breakout Kings,2011,16+,65,0,1,0,0
2319,Scott & Bailey,2011,7+,65,0,1,0,0
2320,Little Britain,2003,18+,65,0,1,0,0
2321,Law & Order: Organized Crime,2021,16+,65,0,1,0,0
2322,Pinky and the Brain,1995,7+,65,0,1,0,0
2323,Ergo Proxy,2006,18+,65,0,1,0,0
2324,Noragami,2014,16+,65,0,1,0,0
2325,Primeval,2007,16+,65,0,1,0,0
2326,Face Off,2011,7+,65,0,1,0,0
2327,Love Island,2015,18+,65,0,1,0,0
2328,Highlander: The Series,1992,16+,65,0,1,0,0
2329,Prison School,2015,18+,65,0,1,0,0
2330,Good Luck Charlie,2010,all,65,0,1,0,1
2331,Medium,2005,16+,65,0,1,0,0
2332,Fire Force,2019,16+,65,0,1,0,0
2333,Second Chance,2016,16+,65,0,1,0,0
2334,American Housewife,2016,7+,65,0,1,0,0
2335,The First,2018,18+,65,0,1,0,0
2336,Reprisal,2019,18+,65,0,1,0,0
2337,Mushoku Tensei: Jobless Reincarnation,2021,16+,64,0,1,0,0
2338,The Kids Are Alright,2018,7+,64,0,1,0,0
2339,Remington Steele,1982,7+,64,0,1,0,0
2340,Saved by the Bell,1989,all,64,0,1,0,0
2341,The Fades,2011,18+,64,0,1,0,0
2342,My Teen Romantic Comedy SNAFU,2013,16+,64,0,1,0,0
2343,Station 19,2018,16+,64,0,1,0,0
2344,New Tricks,2003,7+,64,0,1,0,0
2345,The Mary Tyler Moore Show,1970,7+,64,0,1,0,0
2346,Hill Street Blues,1981,16+,64,0,1,0,0
2347,Monster Musume: Everyday Life with Monster Girls,2015,18+,64,0,1,0,0
2348,The Conners,2018,7+,64,0,1,0,0
2349,NYPD Blue,1993,16+,64,0,1,1,0
2350,CSI: Miami,2002,16+,64,0,1,0,0
2351,Metalocalypse,2006,18+,64,0,1,0,0
2352,America's Got Talent,2006,7+,64,0,1,0,0
2353,Fixer Upper,2013,all,64,0,1,0,0
2354,DCI Banks,2011,16+,64,0,1,0,0
2355,The Future Diary,2011,18+,64,0,1,0,0
2356,Childrens Hospital,2008,18+,64,0,1,0,0
2357,The First 48,2004,18+,64,0,1,0,0
2358,Chopped,2009,all,64,0,1,0,0
2359,Sense and Sensibility,2008,16+,64,0,1,1,0
2360,House Hunters,1999,all,64,0,1,0,0
2361,Teenage Mutant Ninja Turtles,2012,7+,64,0,1,0,0
2362,Flower of Evil,2020,,64,0,1,0,0
2363,Monogatari,2009,16+,64,0,1,0,0
2364,Prisoners of War,2010,,63,0,1,0,0
2365,Clique,2017,18+,63,0,1,0,0
2366,Atlantis,2013,7+,63,0,1,0,0
2367,Travel Man: 48 Hours in...,2015,7+,63,0,1,0,0
2368,Chowder,2007,7+,63,0,1,0,0
2369,The Hardy Boys,2020,7+,63,0,1,0,0
2370,Shots Fired,2017,16+,63,0,1,0,0
2371,National Treasure,2016,,63,0,1,0,1
2372,The Familiar of Zero,2006,16+,63,0,1,0,0
2373,The Brady Bunch,1969,all,63,0,1,0,0
2374,Four Weddings and a Funeral,2019,18+,63,0,1,0,0
2375,Hamilton's Pharmacopeia,2016,18+,63,0,1,0,0
2376,The New York Times Presents,2020,18+,63,0,1,0,0
2377,What's Wrong with Secretary Kim,2018,all,63,0,1,0,0
2378,The Great North,2021,16+,63,0,1,0,0
2379,The Ultimate Fighter,2005,16+,63,0,1,0,0
2380,Tiny Toon Adventures,1990,all,63,0,1,0,0
2381,Foster's Home for Imaginary Friends,2004,7+,63,0,1,0,0
2382,The Tonight Show Starring Jimmy Fallon,2014,16+,63,0,1,0,0
2383,Barkskins,2020,18+,63,0,1,0,0
2384,River Monsters,2009,7+,63,0,1,1,0
2385,The Dick Van Dyke Show,1961,all,63,0,1,0,0
2386,Yu-Gi-Oh! GX,2004,all,63,0,1,0,0
2387,Highschool of the Dead,2010,18+,63,0,1,0,0
2388,While You Were Sleeping,2017,,63,0,1,0,1
2389,The Marvelous Misadventures of Flapjack,2008,7+,63,0,1,0,0
2390,Difficult People,2015,18+,63,0,1,0,0
2391,Reba,2001,7+,63,0,1,0,0
2392,The Event,2010,16+,62,0,1,0,0
2393,American Gothic,1995,7+,62,0,1,0,0
2394,Garfield and Friends,1988,7+,62,0,1,0,0
2395,Home Economics,2021,7+,62,0,1,0,0
2396,Clannad After Story,2009,7+,62,0,1,0,0
2397,The Choe Show,2021,,62,0,1,0,0
2398,Bless This Mess,2019,7+,62,0,1,0,0
2399,Horrible Histories,2009,7+,62,0,1,1,0
2400,grown-ish,2018,16+,62,0,1,0,0
2401,Duncanville,2020,16+,62,0,1,0,0
2402,The Guest Book,2017,18+,62,0,1,0,0
2403,Speechless,2016,7+,62,0,1,0,0
2404,Intervention,2005,16+,62,0,1,0,0
2405,K.C. Undercover,2015,all,62,0,1,0,1
2406,The Three Stooges,1934,all,62,0,1,0,0
2407,Dragon Ball GT,1996,7+,62,0,1,0,0
2408,Melissa & Joey,2010,16+,62,0,1,0,0
2409,The Bob Newhart Show,1972,all,62,0,1,0,0
2410,General Hospital,1963,16+,62,0,1,0,0
2411,Lupin the Third,1971,16+,62,0,1,0,0
2412,Charlotte,2015,16+,62,0,1,0,0
2413,Mr. Mayor,2021,16+,62,0,1,0,0
2414,Murder in the First,2014,18+,62,0,1,0,0
2415,Jersey Shore: Family Vacation,2018,16+,62,0,1,0,0
2416,Family Matters,1989,all,62,0,1,0,0
2417,24: Legacy,2017,16+,62,0,1,0,0
2418,American Ninja Warrior,2009,7+,62,0,1,0,0
2419,Seraph of the End,2015,13+,62,0,1,0,0
2420,Deutschland 86,2018,,62,0,1,0,0
2421,Brickleberry,2012,18+,62,0,1,0,0
2422,Ghosted,2017,7+,62,0,1,0,0
2423,Saving Hope,2012,16+,62,0,1,0,0
2424,Married at First Sight,2014,7+,61,0,1,1,0
2425,The Voice,2011,7+,61,0,1,0,0
2426,Wings,1990,7+,61,0,1,0,0
2427,American Pickers,2010,7+,61,0,1,0,0
2428,Nightwatch,2015,16+,61,0,1,1,0
2429,Gold Rush,2010,7+,61,0,1,0,0
2430,The Riches,2007,18+,61,0,1,0,0
2431,Lark Rise to Candleford,2008,7+,61,0,1,0,0
2432,Stan Against Evil,2016,16+,61,0,1,0,0
2433,Homicide Hunter: Lt Joe Kenda,2011,16+,61,0,1,0,0
2434,RuPaul's Drag Race: Untucked,2010,16+,61,0,1,0,0
2435,The Carmichael Show,2015,7+,61,0,1,0,0
2436,Moone Boy,2012,16+,61,0,1,0,0
2437,Tyler Perry's The Haves and the Have Nots,2013,16+,61,0,1,0,0
2438,Perfect Strangers,1986,7+,61,0,1,1,0
2439,The Practice,1997,16+,61,0,1,0,0
2440,Light as a Feather,2018,16+,61,0,1,0,0
2441,Burden of Truth,2018,16+,61,0,1,0,0
2442,Mister Ed,1961,all,61,0,1,0,0
2443,Kamisama Kiss,2012,7+,61,0,1,0,0
2444,Mike Tyson Mysteries,2014,16+,61,0,1,0,0
2445,American Gladiators,1988,7+,61,0,1,0,0
2446,My Life as a Teenage Robot,2003,all,60,0,1,0,0
2447,Felicity,1998,16+,60,0,1,0,0
2448,Expedition Unknown,2015,7+,60,0,1,0,0
2449,Rosewood,2015,16+,60,0,1,0,0
2450,The Guardian,2001,7+,60,0,1,1,0
2451,Jeremiah,2002,18+,60,0,1,1,0
2452,The Secret of Skinwalker Ranch,2020,7+,60,0,1,0,0
2453,Dharma & Greg,1997,16+,60,0,1,0,0
2454,The Real Housewives of Beverly Hills,2010,16+,60,0,1,0,0
2455,The Fall Guy,1981,16+,60,0,1,0,0
2456,Sealab 2021,2000,16+,60,0,1,1,0
2457,The Incredible Dr. Pol,2011,7+,60,0,1,0,1
2458,Whose Line Is It Anyway? (UK),1988,7+,60,0,1,0,0
2459,The Fruit of Grisaia,2014,18+,60,0,1,0,0
2460,St. Elsewhere,1982,7+,60,0,1,0,0
2461,Ben 10: Omniverse,2012,7+,60,0,1,0,0
2462,Naked and Afraid,2013,16+,60,0,1,0,0
2463,Woke,2020,18+,60,0,1,0,0
2464,Mr. Pickles,2014,18+,60,0,1,0,0
2465,The Moodys,2019,16+,60,0,1,0,0
2466,Being Erica,2009,16+,60,0,1,1,0
2467,Dual Survival,2010,16+,60,0,1,0,0
2468,Dimension 404,2017,16+,60,0,1,0,0
2469,Diff'rent Strokes,1978,all,60,0,1,0,0
2470,Bad Banks,2018,7+,60,0,1,0,0
2471,Kojak,1973,16+,60,0,1,0,0
2472,Robin of Sherwood,1984,7+,60,0,1,1,0
2473,Ranma ½,1989,16+,60,0,1,0,0
2474,McLeod's Daughters,2001,16+,60,0,1,0,0
2475,Life Below Zero,2013,7+,60,0,1,0,1
2476,mixed-ish,2019,7+,60,0,1,0,0
2477,Mountain Men,2012,7+,60,0,1,0,0
2478,Baywatch,1989,7+,60,0,1,1,0
2479,Shut Eye,2016,18+,59,0,1,0,0
2480,Dietland,2018,18+,59,0,1,0,0
2481,Yona of the Dawn,2014,16+,59,0,1,0,0
2482,The Hustler,2021,7+,59,0,1,0,0
2483,Man v. Food,2008,all,59,0,1,0,0
2484,Teen Titans Go!,2013,7+,59,0,1,0,0
2485,Designing Women,1986,7+,59,0,1,0,0
2486,Into the Dark,2018,18+,59,0,1,0,0
2487,Mobile Suit Gundam Wing,2000,13+,59,0,1,0,0
2488,Damien,2016,16+,59,0,1,0,0
2489,Mistresses,2013,16+,59,0,1,0,0
2490,The Lord of the Skies,2013,16+,59,0,1,0,0
2491,Snow White with the Red Hair,2015,16+,59,0,1,0,0
2492,The Masked Singer,2019,7+,59,0,1,0,0
2493,Danganronpa: The Animation,2013,18+,59,0,1,0,0
2494,Hellsing,2001,18+,59,0,1,0,0
2495,Fate/stay night,2006,18+,59,0,1,0,0
2496,Uncle,2014,16+,59,0,1,0,0
2497,Deadly Women,2005,16+,59,0,1,1,0
2498,Ironside,1967,7+,59,0,1,0,0
2499,D.Gray-man,2006,16+,59,0,1,0,0
2500,Space Dandy,2014,16+,59,0,1,0,0
2501,Songland,2019,7+,59,0,1,0,0
2502,Running Wild with Bear Grylls,2014,7+,59,0,1,0,1
2503,Living Single,1993,7+,59,0,1,0,0
2504,My 600-lb Life,2012,16+,59,0,1,0,0
2505,Naked and Afraid XL,2015,16+,59,0,1,0,0
2506,Popeye the Sailor,1960,all,59,0,1,0,0
2507,20/20,1978,,59,0,1,0,0
2508,The Thundermans,2013,all,59,0,1,0,0
2509,90 Day Fiancé,2014,16+,59,0,1,0,0
2510,Duck Dynasty,2012,7+,59,0,1,0,0
2511,Pasión prohibida,2013,,59,0,1,0,0
2512,No Man's Land,2020,16+,59,0,1,0,0
2513,Upstairs Downstairs,2010,7+,59,0,1,0,0
2514,The Bastard Executioner,2015,18+,59,0,1,0,0
2515,The Food That Built America,2019,7+,59,0,1,0,0
2516,Hang Ups,2018,,59,0,1,0,0
2517,Star,2016,16+,59,0,1,0,0
2518,Saving Grace,2007,18+,59,0,1,0,0
2519,Full Metal Panic!,2002,16+,58,0,1,0,0
2520,America's Funniest Home Videos,1989,7+,58,0,1,0,1
2521,BuzzFeed Unsolved - True Crime,2016,,58,0,1,1,0
2522,Log Horizon,2013,16+,58,0,1,0,0
2523,Son of Zorn,2016,16+,58,0,1,0,0
2524,Him & Her,2010,16+,58,0,1,0,0
2525,World Trigger,2014,16+,58,0,1,0,0
2526,Clarence,2014,7+,58,0,1,0,0
2527,Kenan,2021,7+,58,0,1,0,0
2528,Mayo Chiki!,2011,18+,58,0,1,0,0
2529,Haven't You Heard? I'm Sakamoto,2016,16+,58,0,1,0,0
2530,Hard Sun,2018,18+,58,0,1,0,0
2531,Crime Scene Kitchen,2021,,58,0,1,0,0
2532,Dance Moms,2011,7+,58,0,1,0,0
2533,Gordon Ramsay's 24 Hours to Hell and Back,2018,16+,58,0,1,0,0
2534,The White Shadow,1978,,58,0,1,0,0
2535,X Company,2015,16+,58,0,1,0,0
2536,Step by Step,1991,all,58,0,1,0,0
2537,False Flag,2015,,58,0,1,0,0
2538,Housebroken,2021,16+,58,0,1,0,0
2539,Jimmy Kimmel Live!,2003,16+,58,0,1,0,0
2540,The Cleveland Show,2009,16+,58,0,1,0,0
2541,Midnight Sun,2016,,58,1,1,0,0
2542,Dice,2016,18+,58,0,1,0,0
2543,Primeval: New World,2012,16+,58,0,1,0,0
2544,7th Heaven,1996,7+,58,0,1,1,0
2545,Cutthroat Kitchen,2013,all,58,0,1,0,0
2546,Married,2014,18+,58,0,1,0,0
2547,Land of Honor,2014,16+,58,0,1,0,0
2548,The UnXplained,2019,16+,58,0,1,0,0
2549,Deadbeat,2014,16+,58,0,1,0,0
2550,Alone Together,2018,16+,58,0,1,0,0
2551,Chivalry of a Failed Knight,2015,18+,58,0,1,0,0
2552,Intruders,2014,18+,58,0,1,1,0
2553,Kimi ni Todoke: From Me to You,2009,all,58,0,1,0,0
2554,WWE Friday Night SmackDown,1999,7+,58,0,1,0,0
2555,Coronation Street,1960,7+,58,0,1,0,0
2556,Dirty Sexy Money,2007,7+,58,0,1,0,0
2557,The Accident,2019,,58,0,1,0,0
2558,Kenichi: The Mightiest Disciple,2006,16+,58,0,1,1,0
2559,Archangel,2005,18+,58,0,1,0,0
2560,Persona 4 The Animation,2011,7+,58,0,1,0,0
2561,Melrose Place,1992,16+,57,0,1,1,0
2562,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,18+,57,0,1,0,0
2563,Restaurant: Impossible,2011,all,57,0,1,0,0
2564,The Legend of the Blue Sea,2016,,57,0,1,0,0
2565,Alias Smith and Jones,1971,7+,57,0,1,0,0
2566,Justice League Action,2016,7+,57,0,1,0,0
2567,Helstrom,2020,,57,0,1,0,0
2568,Packed to the Rafters,2008,18+,57,0,1,0,0
2569,Oh My Venus,2015,16+,57,0,1,0,0
2570,Banished,2015,18+,57,0,1,1,0
2571,Bizarre Foods with Andrew Zimmern,2006,7+,57,0,1,0,0
2572,Blood Blockade Battlefront,2015,18+,57,0,1,0,0
2573,Curious George,2006,all,57,0,1,0,0
2574,Guilty Crown,2011,16+,57,0,1,0,0
2575,Outlaw Star,1998,16+,57,0,1,0,0
2576,The Real Housewives of New York City,2008,16+,57,0,1,0,0
2577,Storage Wars,2010,7+,57,0,1,1,0
2578,Bluff City Law,2019,16+,57,0,1,0,0
2579,Bad Girls Club,2006,16+,57,0,1,0,0
2580,The Bisexual,2018,,57,0,1,0,0
2581,McHale's Navy,1962,all,57,0,1,0,0
2582,The Four: Battle for Stardom,2018,,57,0,1,0,0
2583,"Doogie Howser, M.D.",1989,7+,57,0,1,0,0
2584,House Hunters International,2006,all,57,0,1,0,0
2585,Shark,2006,16+,57,0,1,0,0
2586,Sasquatch,2021,18+,57,0,1,0,0
2587,The Electric Company,1971,all,57,0,1,1,0
2588,Akudama Drive,2020,18+,57,0,1,0,0
2589,Love & Hip Hop Atlanta,2012,16+,57,0,1,0,0
2590,Good Doctor,2013,,57,0,1,0,0
2591,Alaska: The Last Frontier,2011,16+,57,0,1,0,0
2592,Sonic Boom,2014,7+,57,0,1,0,0
2593,Graves,2016,18+,57,0,1,0,0
2594,The Secret of Crickley Hall,2012,,56,0,1,0,0
2595,Locked Up Abroad,2008,16+,56,0,1,0,0
2596,School Rumble,2004,7+,56,0,1,0,0
2597,Princess Tutu,2002,16+,56,0,1,1,0
2598,Date a Live,2013,16+,56,0,1,0,0
2599,Devil May Cry,2007,16+,56,0,1,0,0
2600,MasterChef Junior,2013,all,56,0,1,0,0
2601,Utopia Falls,2020,7+,56,0,1,0,0
2602,Fear Factor,2001,7+,56,0,1,0,0
2603,Hellevator,2015,18+,56,0,1,0,0
2604,Aesthetica of a Rogue Hero,2012,18+,56,0,1,0,0
2605,"Drugs, Inc.",2010,16+,56,0,1,0,0
2606,Pure,2017,18+,56,0,1,0,0
2607,Dr. Pimple Popper,2018,16+,56,0,1,0,0
2608,The Biggest Loser,2004,7+,56,0,1,0,0
2609,Filthy Rich,2020,16+,56,0,1,0,0
2610,Grimgar of Fantasy and Ash,2016,16+,56,0,1,0,0
2611,Bless the Harts,2019,16+,56,0,1,0,0
2612,Celebrity Family Feud,2008,7+,56,0,1,0,0
2613,xxxHOLiC,2006,16+,56,0,1,0,0
2614,Bloom,2019,,56,0,1,0,0
2615,Paradox,2009,16+,56,1,1,1,0
2616,Worst Cooks in America,2010,all,56,0,1,0,0
2617,Keeping Up with the Kardashians,2007,16+,56,0,1,0,0
2618,Blossom,1990,all,56,0,1,0,0
2619,Taste the Nation with Padma Lakshmi,2020,16+,56,0,1,0,0
2620,Digimon Tamers,2001,7+,56,0,1,0,0
2621,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",2020,16+,56,0,1,0,0
2622,Cake Boss,2009,7+,56,0,1,0,0
2623,Tyler Perry's If Loving You Is Wrong,2014,16+,56,0,1,0,0
2624,Plastic Memories,2015,16+,56,0,1,0,0
2625,Love It or List It,2008,all,56,0,1,0,0
2626,Dragnet,1967,7+,56,0,1,0,0
2627,"Say ""I Love You.""",2012,16+,56,0,1,0,0
2628,Rev.,2010,16+,56,0,1,0,0
2629,Axe Cop,2013,18+,56,0,1,0,0
2630,The Secret Life of the American Teenager,2008,16+,55,0,1,0,0
2631,Extreme Ghostbusters,1997,7+,55,0,1,0,0
2632,OK K.O.! Let's Be Heroes,2017,7+,55,0,1,0,0
2633,頭文字D First Stage,1998,7+,55,0,1,0,0
2634,The Firm,2012,16+,55,0,1,1,0
2635,The Titan Games,2019,all,55,0,1,0,0
2636,Attack on Titan: Junior High,2015,16+,55,0,1,0,0
2637,To Love-Ru,2008,18+,55,0,1,0,0
2638,Rosario + Vampire,2008,18+,55,0,1,0,0
2639,All Saints,1998,16+,55,0,1,0,0
2640,Fast N' Loud,2012,16+,55,0,1,0,0
2641,Upper Middle Bogan,2013,16+,55,0,1,0,0
2642,Toilet-Bound Hanako-kun,2020,16+,55,0,1,0,0
2643,Barbarians Rising,2016,18+,55,0,1,0,0
2644,Prey,2014,,55,0,1,0,0
2645,Silk Stalkings,1991,16+,55,0,1,0,0
2646,Match Game,1973,7+,55,0,1,1,0
2647,The Most Dangerous Animal of All,2020,16+,55,0,1,0,0
2648,Arifureta: From Commonplace to World's Strongest,2019,16+,55,0,1,0,0
2649,Renegade,1992,16+,55,0,1,0,0
2650,Disappeared,2009,7+,55,0,1,0,0
2651,My Favorite Martian,1963,all,55,0,1,0,1
2652,Wise Man’s Grandchild,2019,16+,55,0,1,0,0
2653,The Slap,2015,16+,55,0,1,1,0
2654,Daniel Deronda,2002,,55,0,1,0,0
2655,90 Day Fiancé: Before the 90 Days,2017,16+,55,0,1,0,0
2656,Love Thy Neighbor,2013,7+,55,0,1,0,0
2657,Infinite Stratos,2011,18+,55,0,1,0,0
2658,A Certain Scientific Railgun,2009,16+,55,0,1,0,0
2659,Taggart,1983,18+,55,0,1,0,0
2660,Call Me Kat,2021,7+,55,0,1,0,0
2661,My Love Story!!,2015,16+,55,0,1,0,0
2662,Digimon Adventure:,2020,all,55,0,1,0,0
2663,City Homicide,2007,16+,55,0,1,0,0
2664,The Lucy Show,1962,7+,55,0,1,0,0
2665,Bering Sea Gold,2012,all,55,0,1,0,0
2666,Dog with a Blog,2012,all,55,0,1,0,1
2667,Beyond Scared Straight,2011,18+,55,0,1,0,0
2668,Deutschland 89,2020,,55,0,1,0,0
2669,The Smile Has Left Your Eyes,2018,all,55,0,1,0,0
2670,Bakuman。,2010,16+,55,0,1,0,0
2671,Castaways,2018,7+,55,0,1,0,0
2672,Iron Chef America,2005,all,54,0,1,0,0
2673,Your Pretty Face Is Going to Hell,2013,18+,54,0,1,0,0
2674,Jersey Shore,2009,16+,54,0,1,0,0
2675,Tim and Eric's Bedtime Stories,2014,18+,54,0,1,0,0
2676,ID: INVADED,2020,18+,54,0,1,0,0
2677,Undercover Boss,2010,7+,54,0,1,0,0
2678,Sex&Drugs&Rock&Roll,2015,16+,54,0,1,0,0
2679,Vanished,2006,18+,54,0,1,0,0
2680,Skin Wars,2014,16+,54,0,1,0,0
2681,Hollywood Game Night,2013,7+,54,0,1,0,0
2682,A Christmas Carol,2019,18+,54,0,1,0,1
2683,Black Narcissus,2020,18+,54,0,1,0,0
2684,Pramface,2012,16+,54,0,1,0,0
