Unnamed: 0,Streaming Service,Date,Subscription Price
154,Disney+,2020-02-01,6.99
155,Disney+,2020-03-01,6.99
156,Disney+,2020-04-01,6.99
157,Disney+,2020-05-01,6.99
158,Disney+,2020-06-01,6.99
159,Disney+,2020-07-01,6.99
160,Disney+,2020-08-01,6.99
161,Disney+,2020-09-01,6.99
162,Disney+,2020-10-01,6.99
163,Disney+,2020-11-01,6.99
164,Disney+,2020-12-01,6.99
165,Disney+,2021-01-01,6.99
166,Disney+,2021-02-01,6.99
167,Disney+,2021-03-01,7.99
168,Disney+,2021-04-01,7.99
169,Disney+,2021-05-01,7.99
170,Disney+,2021-06-01,7.99
171,Disney+,2021-07-01,7.99
172,Disney+,2021-08-01,7.99
173,Disney+,2021-09-01,7.99
174,Disney+,2021-10-01,7.99
175,Disney+,2021-11-01,7.99
176,Disney+,2021-12-01,7.99
177,Disney+,2022-01-01,7.99
178,Disney+,2022-02-01,7.99
179,Disney+,2022-03-01,7.99
180,Disney+,2022-04-01,7.99
181,Disney+,2022-05-01,7.99
182,Disney+,2022-06-01,7.99
183,Disney+,2022-07-01,7.99
184,Disney+,2022-08-01,7.99
185,Disney+,2022-09-01,7.99
186,Disney+,2022-10-01,7.99
187,Disney+,2022-11-01,7.99
188,Disney+,2022-12-01,10.99
189,Disney+,2023-01-01,10.99
190,Disney+,2023-02-01,10.99
191,Disney+,2023-03-01,10.99
192,Disney+,2023-04-01,10.99
193,Disney+,2023-05-01,10.99
194,Disney+,2023-06-01,10.99
195,Disney+,2023-07-01,10.99
196,Disney+,2023-08-01,10.99
197,Disney+,2023-09-01,10.99
198,Disney+,2023-10-01,13.99
199,Disney+,2023-11-01,13.99
200,Disney+,2023-12-01,13.99
201,Disney+,2024-01-01,13.99
202,HBO Max,2020-05-01,14.99
203,HBO Max,2020-06-01,14.99
204,HBO Max,2020-07-01,14.99
205,HBO Max,2020-08-01,14.99
206,HBO Max,2020-09-01,14.99
207,HBO Max,2020-10-01,14.99
208,HBO Max,2020-11-01,14.99
209,HBO Max,2020-12-01,14.99
210,HBO Max,2021-01-01,14.99
211,HBO Max,2021-02-01,14.99
212,HBO Max,2021-03-01,14.99
213,HBO Max,2021-04-01,14.99
214,HBO Max,2021-05-01,14.99
215,HBO Max,2021-06-01,14.99
216,HBO Max,2021-07-01,14.99
217,HBO Max,2021-08-01,14.99
218,HBO Max,2021-09-01,14.99
219,HBO Max,2021-10-01,14.99
220,HBO Max,2021-11-01,14.99
221,HBO Max,2021-12-01,14.99
222,HBO Max,2022-01-01,14.99
223,HBO Max,2022-02-01,14.99
224,HBO Max,2022-03-01,14.99
225,HBO Max,2022-04-01,14.99
226,HBO Max,2022-05-01,14.99
227,HBO Max,2022-06-01,14.99
228,HBO Max,2022-07-01,14.99
229,HBO Max,2022-08-01,14.99
230,HBO Max,2022-09-01,14.99
231,HBO Max,2022-10-01,14.99
232,HBO Max,2022-11-01,14.99
233,HBO Max,2022-12-01,14.99
234,HBO Max,2023-01-01,14.99
235,HBO Max,2023-02-01,15.99
236,HBO Max,2023-03-01,15.99
237,HBO Max,2023-04-01,15.99
238,HBO Max,2023-05-01,15.99
239,HBO Max,2023-06-01,15.99
240,HBO Max,2023-07-01,15.99
241,HBO Max,2023-08-01,15.99
242,HBO Max,2023-09-01,15.99
243,HBO Max,2023-10-01,15.99
244,HBO Max,2023-11-01,15.99
245,HBO Max,2023-12-01,15.99
246,HBO Max,2024-01-01,15.99
247,Hulu,2015-10-01,11.99
248,Hulu,2015-11-01,11.99
249,Hulu,2015-12-01,11.99
250,Hulu,2016-01-01,11.99
251,Hulu,2016-02-01,11.99
252,Hulu,2016-03-01,11.99
253,Hulu,2016-04-01,11.99
254,Hulu,2016-05-01,11.99
255,Hulu,2016-06-01,11.99
256,Hulu,2016-07-01,11.99
257,Hulu,2016-08-01,11.99
258,Hulu,2016-09-01,11.99
259,Hulu,2016-10-01,11.99
260,Hulu,2016-11-01,11.99
261,Hulu,2016-12-01,11.99
262,Hulu,2017-01-01,11.99
263,Hulu,2017-02-01,11.99
264,Hulu,2017-03-01,11.99
265,Hulu,2017-04-01,11.99
266,Hulu,2017-05-01,11.99
267,Hulu,2017-06-01,11.99
268,Hulu,2017-07-01,11.99
269,Hulu,2017-08-01,11.99
270,Hulu,2017-09-01,11.99
271,Hulu,2017-10-01,11.99
272,Hulu,2017-11-01,11.99
273,Hulu,2017-12-01,11.99
274,Hulu,2018-01-01,11.99
275,Hulu,2018-02-01,11.99
276,Hulu,2018-03-01,11.99
277,Hulu,2018-04-01,11.99
278,Hulu,2018-05-01,11.99
279,Hulu,2018-06-01,11.99
280,Hulu,2018-07-01,11.99
281,Hulu,2018-08-01,11.99
282,Hulu,2018-09-01,11.99
283,Hulu,2018-10-01,11.99
284,Hulu,2018-11-01,11.99
285,Hulu,2018-12-01,11.99
286,Hulu,2019-01-01,11.99
287,Hulu,2019-02-01,11.99
288,Hulu,2019-03-01,11.99
289,Hulu,2019-04-01,11.99
290,Hulu,2019-05-01,11.99
291,Hulu,2019-06-01,11.99
292,Hulu,2019-07-01,11.99
293,Hulu,2019-08-01,11.99
294,Hulu,2019-09-01,11.99
295,Hulu,2019-10-01,11.99
296,Hulu,2019-11-01,11.99
297,Hulu,2019-12-01,11.99
298,Hulu,2020-01-01,11.99
299,Hulu,2020-02-01,11.99
300,Hulu,2020-03-01,11.99
301,Hulu,2020-04-01,11.99
302,Hulu,2020-05-01,11.99
303,Hulu,2020-06-01,11.99
304,Hulu,2020-07-01,11.99
305,Hulu,2020-08-01,11.99
306,Hulu,2020-09-01,11.99
307,Hulu,2020-10-01,11.99
308,Hulu,2020-11-01,11.99
309,Hulu,2020-12-01,11.99
310,Hulu,2021-01-01,11.99
311,Hulu,2021-02-01,11.99
312,Hulu,2021-03-01,11.99
313,Hulu,2021-04-01,11.99
314,Hulu,2021-05-01,11.99
315,Hulu,2021-06-01,11.99
316,Hulu,2021-07-01,11.99
317,Hulu,2021-08-01,11.99
318,Hulu,2021-09-01,11.99
319,Hulu,2021-10-01,12.99
320,Hulu,2021-11-01,12.99
321,Hulu,2021-12-01,12.99
322,Hulu,2022-01-01,12.99
323,Hulu,2022-02-01,12.99
324,Hulu,2022-03-01,12.99
325,Hulu,2022-04-01,12.99
326,Hulu,2022-05-01,12.99
327,Hulu,2022-06-01,12.99
328,Hulu,2022-07-01,12.99
329,Hulu,2022-08-01,12.99
330,Hulu,2022-09-01,12.99
331,Hulu,2022-10-01,12.99
332,Hulu,2022-11-01,12.99
333,Hulu,2022-12-01,14.99
334,Hulu,2023-01-01,14.99
335,Hulu,2023-02-01,14.99
336,Hulu,2023-03-01,14.99
337,Hulu,2023-04-01,14.99
338,Hulu,2023-05-01,14.99
339,Hulu,2023-06-01,14.99
340,Hulu,2023-07-01,14.99
341,Hulu,2023-08-01,14.99
342,Hulu,2023-09-01,14.99
343,Hulu,2023-10-01,14.99
344,Hulu,2023-11-01,14.99
345,Hulu,2023-12-01,14.99
346,Hulu,2024-01-01,17.99
347,Paramount+,2014-10-01,9.99
348,Paramount+,2014-11-01,9.99
349,Paramount+,2014-12-01,9.99
350,Paramount+,2015-01-01,9.99
351,Paramount+,2015-02-01,9.99
352,Paramount+,2015-03-01,9.99
353,Paramount+,2015-04-01,9.99
354,Paramount+,2015-05-01,9.99
355,Paramount+,2015-06-01,9.99
356,Paramount+,2015-07-01,9.99
357,Paramount+,2015-08-01,9.99
358,Paramount+,2015-09-01,9.99
359,Paramount+,2015-10-01,9.99
360,Paramount+,2015-11-01,9.99
361,Paramount+,2015-12-01,9.99
362,Paramount+,2016-01-01,9.99
363,Paramount+,2016-02-01,9.99
364,Paramount+,2016-03-01,9.99
365,Paramount+,2016-04-01,9.99
366,Paramount+,2016-05-01,9.99
367,Paramount+,2016-06-01,9.99
368,Paramount+,2016-07-01,9.99
369,Paramount+,2016-08-01,9.99
370,Paramount+,2016-09-01,9.99
371,Paramount+,2016-10-01,9.99
372,Paramount+,2016-11-01,9.99
373,Paramount+,2016-12-01,9.99
374,Paramount+,2017-01-01,9.99
375,Paramount+,2017-02-01,9.99
376,Paramount+,2017-03-01,9.99
377,Paramount+,2017-04-01,9.99
378,Paramount+,2017-05-01,9.99
379,Paramount+,2017-06-01,9.99
380,Paramount+,2017-07-01,9.99
381,Paramount+,2017-08-01,9.99
382,Paramount+,2017-09-01,9.99
383,Paramount+,2017-10-01,9.99
384,Paramount+,2017-11-01,9.99
385,Paramount+,2017-12-01,9.99
386,Paramount+,2018-01-01,9.99
