Unnamed: 0,Streaming Service,Date,Subscription Price
748,Crunchyroll,2021-09-01,7.99
749,Crunchyroll,2021-10-01,7.99
750,Crunchyroll,2021-11-01,7.99
751,Crunchyroll,2021-12-01,7.99
752,Crunchyroll,2022-01-01,7.99
753,Crunchyroll,2022-02-01,7.99
754,Crunchyroll,2022-03-01,7.99
755,Crunchyroll,2022-04-01,7.99
756,Crunchyroll,2022-05-01,7.99
757,Crunchyroll,2022-06-01,7.99
758,Crunchyroll,2022-07-01,7.99
759,Crunchyroll,2022-08-01,7.99
760,Crunchyroll,2022-09-01,7.99
761,Crunchyroll,2022-10-01,7.99
762,Crunchyroll,2022-11-01,7.99
763,Crunchyroll,2022-12-01,7.99
764,Crunchyroll,2023-01-01,7.99
765,Crunchyroll,2023-02-01,7.99
766,Crunchyroll,2023-03-01,7.99
767,Crunchyroll,2023-04-01,7.99
768,Crunchyroll,2023-05-01,7.99
769,Crunchyroll,2023-06-01,7.99
770,Crunchyroll,2023-07-01,7.99
771,Crunchyroll,2023-08-01,7.99
772,Crunchyroll,2023-09-01,7.99
773,Crunchyroll,2023-10-01,7.99
774,Crunchyroll,2023-11-01,7.99
775,Crunchyroll,2023-12-01,7.99
776,Crunchyroll,2024-01-01,7.99
